timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1758876656.955043 0.07057126 0.07247584 -0.05781105 -0.00007246 0.00009782 -0.00004959
1758876657.021723 0.06866989 0.06641745 -0.05751908 -0.00009057 0.00008121 -0.00007137
1758876657.088402 0.06718211 0.06008201 -0.05712011 -0.00011134 0.00007082 -0.00008683
1758876657.155082 0.06628571 0.05212768 -0.05650529 -0.00014175 0.00006700 -0.00009946
1758876657.221761 0.06549673 0.04520619 -0.05605738 -0.00017643 0.00005846 -0.00011119
1758876657.288440 0.06483379 0.04029172 -0.05577352 -0.00021375 0.00003456 -0.00012318
1758876657.355120 0.06196811 0.03635292 -0.05561836 -0.00025179 0.00000162 -0.00013798
1758876657.421799 0.05865442 0.03342543 -0.05540989 -0.00029091 -0.00002978 -0.00014620
1758876657.488478 0.05256345 0.03067982 -0.05539975 -0.00031777 -0.00005619 -0.00016571
1758876657.555158 0.04642671 0.02780525 -0.05523025 -0.00033212 -0.00007176 -0.00017899
1758876657.621836 0.03488246 0.02555421 -0.05541339 -0.00032455 -0.00008707 -0.00018975
1758876657.688515 0.02548446 0.02650463 -0.05547899 -0.00032900 -0.00008893 -0.00021356
1758876657.755195 0.01435662 0.02535211 -0.05578999 -0.00033814 -0.00009838 -0.00023705
1758876657.821874 0.00624524 0.02476770 -0.05587074 -0.00034928 -0.00010709 -0.00025987
1758876657.888553 -0.00463611 0.02380048 -0.05587904 -0.00033997 -0.00011702 -0.00027155
1758876657.955232 -0.01435864 0.01761377 -0.05567917 -0.00034439 -0.00011753 -0.00028129
1758876658.021912 -0.02349506 0.01038789 -0.05564462 -0.00033628 -0.00011399 -0.00029796
1758876658.088590 -0.03406558 0.00110067 -0.05553923 -0.00033578 -0.00010605 -0.00031464
1758876658.155270 -0.04182377 -0.00935830 -0.05538573 -0.00034974 -0.00008832 -0.00032363
1758876658.221949 -0.05057656 -0.01561245 -0.05544830 -0.00037005 -0.00006786 -0.00031721
1758876658.288629 -0.05360600 -0.01718971 -0.05554529 -0.00036171 -0.00006710 -0.00031722
1758876658.355308 -0.05929665 -0.02476361 -0.05543946 -0.00036828 -0.00004761 -0.00030004
1758876658.421987 -0.06794112 -0.03233691 -0.05544030 -0.00036759 -0.00002682 -0.00028998
1758876658.488667 -0.07832992 -0.04270468 -0.05536341 -0.00036828 0.00001634 -0.00029214
1758876658.555345 -0.08851637 -0.04877834 -0.05527053 -0.00035215 0.00004570 -0.00029848
1758876658.622024 -0.09602365 -0.05073025 -0.05514716 -0.00034563 0.00005910 -0.00030350
1758876658.688703 -0.10001524 -0.04726262 -0.05510244 -0.00034974 0.00004575 -0.00030423
1758876658.755382 -0.10243502 -0.03867820 -0.05547763 -0.00035098 0.00003996 -0.00029201
1758876658.822062 -0.10643441 -0.03187528 -0.05581341 -0.00035685 0.00003063 -0.00027162
1758876658.888741 -0.10678651 -0.03107024 -0.05592048 -0.00035917 0.00003285 -0.00026949
1758876658.955420 -0.11491752 -0.02721616 -0.05645837 -0.00034775 0.00006290 -0.00027470
1758876659.022099 -0.12040657 -0.02652197 -0.05655618 -0.00033036 0.00007097 -0.00026464
1758876659.088779 -0.12207815 -0.02837037 -0.05661948 -0.00032366 0.00007648 -0.00026960
1758876659.155459 -0.12391616 -0.02948618 -0.05655327 -0.00031799 0.00008183 -0.00026150
1758876659.222139 -0.12576364 -0.03053202 -0.05643089 -0.00030070 0.00007051 -0.00024799
1758876659.288818 -0.12821907 -0.03157457 -0.05640381 -0.00027377 0.00007002 -0.00023883
1758876659.355498 -0.13289574 -0.03427828 -0.05625778 -0.00025725 0.00007752 -0.00021524
1758876659.422176 -0.13758153 -0.03660671 -0.05618754 -0.00024128 0.00007922 -0.00021192
1758876659.488856 -0.14222417 -0.03986060 -0.05609112 -0.00021903 0.00008021 -0.00020751
1758876659.555535 -0.14489460 -0.04065249 -0.05597588 -0.00019969 0.00009091 -0.00019912
1758876659.622215 -0.14414861 -0.04001386 -0.05582267 -0.00019085 0.00008967 -0.00016532
1758876659.688894 -0.14405772 -0.03958177 -0.05567323 -0.00017191 0.00009570 -0.00010316
1758876659.755573 -0.14249144 -0.03872867 -0.05563830 -0.00016242 0.00009479 -0.00004172
1758876659.822253 -0.14010822 -0.03836552 -0.05568143 -0.00016113 0.00010344 0.00001624
1758876659.888930 -0.13889861 -0.03711377 -0.05571944 -0.00015289 0.00011145 0.00007485
1758876659.955614 -0.13813296 -0.03717461 -0.05571523 -0.00013442 0.00012771 0.00012752
1758876660.022298 -0.13832045 -0.03703030 -0.05574583 -0.00011834 0.00015490 0.00018276
1758876660.088981 -0.13765369 -0.03727696 -0.05579348 -0.00009178 0.00018533 0.00022418
1758876660.155664 -0.13623375 -0.03739436 -0.05574496 -0.00006489 0.00021088 0.00022894
1758876660.222348 -0.13285061 -0.03797600 -0.05539947 -0.00002203 0.00024453 0.00025177
1758876660.289031 -0.12738933 -0.03871429 -0.05512546 0.00003046 0.00028282 0.00026781
1758876660.355714 -0.12385419 -0.03878352 -0.05495345 0.00005968 0.00029766 0.00026652
1758876660.422397 -0.11942881 -0.03795458 -0.05496274 0.00010167 0.00034324 0.00027940
1758876660.489081 -0.11704453 -0.03658046 -0.05525758 0.00011914 0.00038259 0.00029913
1758876660.555764 -0.11508802 -0.03527974 -0.05533684 0.00013793 0.00041565 0.00032760
1758876660.622448 -0.11434204 -0.03487934 -0.05521494 0.00014870 0.00042680 0.00032998
1758876660.689131 -0.11277081 -0.03376131 -0.05515223 0.00017082 0.00044756 0.00034675
1758876660.755814 -0.11115234 -0.03371827 -0.05497396 0.00018750 0.00046400 0.00034110
1758876660.822497 -0.10899946 -0.03381885 -0.05485571 0.00019647 0.00047843 0.00034883
1758876660.889181 -0.10683806 -0.03396521 -0.05471976 0.00021172 0.00047863 0.00032742
1758876660.955859 -0.10543311 -0.03462414 -0.05459114 0.00024031 0.00048156 0.00029618
1758876661.022536 -0.10535759 -0.03540913 -0.05445397 0.00024856 0.00048688 0.00025158
1758876661.089214 -0.10586322 -0.03695363 -0.05402104 0.00025183 0.00048652 0.00019594
1758876661.155892 -0.10644118 -0.03876293 -0.05356936 0.00023068 0.00046970 0.00014242
